Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,Team,GameID
Ariel Hukporti,6:05,0,0,,0,0,,0,0,,0,4,4,0,0,1,0,0,0,1.9,+9,,,,,0.0,78.9,42.7,0.0,0.0,23.2,,0.0,0,118,4.9,NYK,202410220BOS
Cameron Payne,20:43,5,10,.500,1,4,.250,0,0,,1,2,3,4,1,0,1,3,11,8.9,0,.550,.550,.400,.000,6.8,11.6,9.4,29.5,2.6,0.0,9.1,26.3,118,145,-1.1,NYK,202410220BOS
Jacob Toppin,2:47,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,0,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.8,0,155,-26.6,NYK,202410220BOS
Jalen Brunson,24:30,9,14,.643,1,2,.500,3,3,1.000,0,1,1,2,0,0,4,3,22,12.3,-23,.718,.679,.143,.214,0.0,4.9,2.6,15.4,0.0,0.0,20.7,39.0,112,153,-5.7,NYK,202410220BOS
Jericho Sims,24:23,2,3,.667,0,0,,0,0,,3,6,9,1,0,2,1,0,4,7.7,-5,.667,.667,.000,.000,17.4,29.5,23.9,5.0,0.0,11.6,25.0,8.1,134,140,0.5,NYK,202410220BOS
Josh Hart,24:30,4,6,.667,0,2,.000,4,6,.667,1,3,4,3,0,0,1,0,12,11.3,-23,.694,.667,.333,1.000,5.8,14.7,10.6,16.7,0.0,0.0,10.4,19.5,139,150,0.8,NYK,202410220BOS
Karl-Anthony Towns,23:37,5,9,.556,1,2,.500,1,1,1.000,0,7,7,3,0,0,0,1,12,11.5,-18,.636,.611,.222,.111,0.0,35.6,19.2,18.6,0.0,0.0,0.0,19.8,138,144,4.0,NYK,202410220BOS
Mikal Bridges,34:37,7,13,.538,2,7,.286,0,1,.000,0,0,0,2,0,0,1,0,16,9.7,-33,.595,.615,.538,.077,0.0,0.0,0.0,8.3,0.0,0.0,6.9,20.6,113,155,-5.5,NYK,202410220BOS
Miles McBride,25:51,8,10,.800,4,5,.800,2,3,.667,0,0,0,2,0,0,1,1,22,17.8,-18,.972,1.000,.500,.300,0.0,0.0,0.0,13.2,0.0,0.0,8.1,23.6,172,155,11.2,NYK,202410220BOS
OG Anunoby,34:10,1,7,.143,0,4,.000,2,2,1.000,0,5,5,3,1,0,0,3,4,2.9,-21,.254,.143,.571,.286,0.0,17.6,9.5,10.1,1.6,0.0,0.0,11.4,77,145,-9.8,NYK,202410220BOS
