Player,Seconds_Played,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,Team,GameID,Year,Month,Day,rebs+asts,pts+asts,pts+rebs,pts+rebs+asts,assists,rebounds,points,date,Predicted_PTS,Exceeds_Prediction
A.J. Green,244,0,0,,0,0,,0,0,,0,0,0,1,1,0,0,0,0.0,1.7,+4,,,,,0.0,0.0,0.0,27.4,11.9,0.0,,0.0,237,94,16.1,MIL,202410230PHI,2024,10,23,1,1.0,0.0,1.0,1,0,0.0,2024-10-23,,
A.J. Green,675,3,4,.750,3,4,.750,0,0,,0,1,1,1,0,0,0,1,9.0,8.0,-6,1.125,1.125,1.000,.000,0.0,8.9,4.6,12.9,0.0,0.0,0.0,14.3,211,129,14.8,MIL,202410250MIL,2024,10,25,2,10.0,10.0,11.0,1,1,9.0,2024-10-25,,
A.J. Green,772,1,4,.250,1,4,.250,2,2,1.000,0,0,0,1,0,0,1,0,5.0,2.3,-3,.512,.375,1.000,.500,0.0,0.0,0.0,12.7,0.0,0.0,17.0,20.8,94,127,-6.6,MIL,202410270BRK,2024,10,27,1,6.0,5.0,6.0,1,0,5.0,2024-10-27,,
A.J. Green,164,1,2,.500,1,2,.500,0,0,,0,1,1,0,0,0,0,0,3.0,2.3,+4,.750,.750,1.000,.000,0.0,45.0,21.7,0.0,0.0,0.0,0.0,31.2,132,119,18.5,MIL,202410280BOS,2024,10,28,1,3.0,4.0,4.0,0,1,3.0,2024-10-28,,
A.J. Green,284,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0.0,-0.7,-1,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9,0,125,-16.1,MIL,202410310MEM,2024,10,31,0,0.0,0.0,0.0,0,0,0.0,2024-10-31,,
A.J. Green,2038,7,9,.778,7,9,.778,0,0,,0,6,6,1,0,0,1,0,21.0,19.0,+5,1.167,1.167,1.000,.000,0.0,18.0,9.6,4.4,0.0,0.0,10.0,13.1,190,121,11.2,MIL,202411040CLE,2024,11,04,7,22.0,27.0,28.0,1,6,21.0,2024-11-04,3.21,1.0
A.J. Green,1105,4,6,.667,4,6,.667,0,0,,0,0,0,2,1,0,1,0,12.0,10.8,+13,1.000,1.000,1.000,.000,0.0,0.0,0.0,16.0,2.7,0.0,14.3,16.9,167,110,14.0,MIL,202411070MIL,2024,11,07,2,14.0,12.0,14.0,2,0,12.0,2024-11-07,6.83,1.0
A.J. Green,1498,3,6,.500,3,6,.500,0,0,,0,0,0,0,0,0,0,4,9.0,4.4,-4,.750,.750,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,146,132,-2.5,MIL,202411080NYK,2024,11,08,0,9.0,9.0,9.0,0,0,9.0,2024-11-08,5.080000000000001,1.0
A.J. Green,1617,4,6,.667,4,6,.667,0,0,,0,3,3,0,3,0,0,1,12.0,12.9,-5,1.000,1.000,1.000,.000,0.0,12.1,6.4,0.0,5.5,0.0,0.0,10.4,181,111,10.0,MIL,202411100MIL,2024,11,10,3,12.0,15.0,15.0,0,3,12.0,2024-11-10,5.76,1.0
A.J. Green,1807,4,14,.286,4,14,.286,0,0,,2,3,5,3,2,0,1,2,12.0,8.4,+12,.429,.429,1.000,.000,6.5,9.2,7.9,15.1,3.2,0.0,6.7,20.6,97,91,-0.9,MIL,202411120MIL,2024,11,12,8,15.0,17.0,20.0,3,5,12.0,2024-11-12,8.04,1.0
