Line ID,Game ID,Player Name,Normalized Name,Team,Line,Market,League,Is Available,Sportsbook,Game Date,Start Time,Grade,Line Changes
prizepicks_3463661,2024-12-11_dallas-mavericks_oklahoma-city-thunder,Isaiah Hartenstein,isaiah hartenstein,oklahoma city thunder,1.5,turnovers,NBA,True,PrizePicks,2024-12-11,2024-12-11T02:40:00.000Z,not-started,"[{'timestamp': '2024-12-10T03:42:26.321Z', 'value': 1.5}]"
prizepicks_3463659,2024-12-11_dallas-mavericks_oklahoma-city-thunder,Luka Doncic,luka doncic,dallas mavericks,4.5,turnovers,NBA,True,PrizePicks,2024-12-11,2024-12-11T02:40:00.000Z,not-started,"[{'timestamp': '2024-12-10T03:42:26.321Z', 'value': 4.5}]"
prizepicks_3463658,2024-12-11_dallas-mavericks_oklahoma-city-thunder,Kyrie Irving,kyrie irving,dallas mavericks,2.5,turnovers,NBA,True,PrizePicks,2024-12-11,2024-12-11T02:40:00.000Z,not-started,"[{'timestamp': '2024-12-10T03:42:26.321Z', 'value': 2.5}]"
prizepicks_3463648,2024-12-11_dallas-mavericks_oklahoma-city-thunder,Luguentz Dort,luguentz dort,oklahoma city thunder,1.5,blks+stls,NBA,True,PrizePicks,2024-12-11,2024-12-11T02:40:00.000Z,not-started,"[{'timestamp': '2024-12-10T03:42:26.321Z', 'value': 1.5}]"
prizepicks_3463647,2024-12-11_dallas-mavericks_oklahoma-city-thunder,P.J. Washington,pj washington,dallas mavericks,1.5,blks+stls,NBA,True,PrizePicks,2024-12-11,2024-12-11T02:40:00.000Z,not-started,"[{'timestamp': '2024-12-10T03:42:26.321Z', 'value': 1.5}]"
prizepicks_3463634,2024-12-11_dallas-mavericks_oklahoma-city-thunder,Daniel Gafford,daniel gafford,dallas mavericks,7.5,rebs+asts,NBA,True,PrizePicks,2024-12-11,2024-12-11T02:40:00.000Z,not-started,"[{'timestamp': '2024-12-10T03:42:26.321Z', 'value': 7.5}]"
prizepicks_3463630,2024-12-11_dallas-mavericks_oklahoma-city-thunder,P.J. Washington,pj washington,dallas mavericks,8.5,rebs+asts,NBA,True,PrizePicks,2024-12-11,2024-12-11T02:40:00.000Z,not-started,"[{'timestamp': '2024-12-10T03:42:26.321Z', 'value': 8.5}]"
prizepicks_3463628,2024-12-11_dallas-mavericks_oklahoma-city-thunder,Dereck Lively II,dereck lively,dallas mavericks,9.5,rebs+asts,NBA,True,PrizePicks,2024-12-11,2024-12-11T02:40:00.000Z,not-started,"[{'timestamp': '2024-12-10T03:42:26.321Z', 'value': 9.5}]"
prizepicks_3463625,2024-12-11_dallas-mavericks_oklahoma-city-thunder,Luguentz Dort,luguentz dort,oklahoma city thunder,5.5,rebs+asts,NBA,True,PrizePicks,2024-12-11,2024-12-11T02:40:00.000Z,not-started,"[{'timestamp': '2024-12-10T03:42:26.321Z', 'value': 5.5}]"
prizepicks_3463623,2024-12-11_dallas-mavericks_oklahoma-city-thunder,Klay Thompson,klay thompson,dallas mavericks,13.5,pts+asts,NBA,True,PrizePicks,2024-12-11,2024-12-11T02:40:00.000Z,not-started,"[{'timestamp': '2024-12-10T03:42:26.321Z', 'value': 13.5}]"
prizepicks_3463622,2024-12-11_dallas-mavericks_oklahoma-city-thunder,Luka Doncic,luka doncic,dallas mavericks,36.5,pts+asts,NBA,True,PrizePicks,2024-12-11,2024-12-11T02:40:00.000Z,not-started,"[{'timestamp': '2024-12-10T03:42:26.321Z', 'value': 36.5}]"
prizepicks_3463619,2024-12-11_dallas-mavericks_oklahoma-city-thunder,Shai Gilgeous-Alexander,shai gilgeousalexander,oklahoma city thunder,36.5,pts+asts,NBA,True,PrizePicks,2024-12-11,2024-12-11T02:40:00.000Z,not-started,"[{'timestamp': '2024-12-10T03:42:26.321Z', 'value': 36.5}]"
prizepicks_3463617,2024-12-11_dallas-mavericks_oklahoma-city-thunder,Jalen Williams,jalen williams,oklahoma city thunder,26.5,pts+asts,NBA,True,PrizePicks,2024-12-11,2024-12-11T02:40:00.000Z,not-started,"[{'timestamp': '2024-12-10T03:42:26.321Z', 'value': 26.5}]"
prizepicks_3463616,2024-12-11_dallas-mavericks_oklahoma-city-thunder,Kyrie Irving,kyrie irving,dallas mavericks,26.5,pts+asts,NBA,True,PrizePicks,2024-12-11,2024-12-11T02:40:00.000Z,not-started,"[{'timestamp': '2024-12-10T03:42:26.321Z', 'value': 26.5}]"
prizepicks_3463486,2024-12-11_dallas-mavericks_oklahoma-city-thunder,Daniel Gafford,daniel gafford,dallas mavericks,17.5,pts+rebs,NBA,True,PrizePicks,2024-12-11,2024-12-11T02:40:00.000Z,not-started,"[{'timestamp': '2024-12-10T03:42:26.321Z', 'value': 16.5}, {'timestamp': '2024-12-10T04:12:26.391Z', 'value': 17.5}]"
prizepicks_3463485,2024-12-11_dallas-mavericks_oklahoma-city-thunder,Klay Thompson,klay thompson,dallas mavericks,15.5,pts+rebs,NBA,True,PrizePicks,2024-12-11,2024-12-11T02:40:00.000Z,not-started,"[{'timestamp': '2024-12-10T03:42:26.321Z', 'value': 15.5}]"
prizepicks_3463484,2024-12-11_dallas-mavericks_oklahoma-city-thunder,Luka Doncic,luka doncic,dallas mavericks,36.5,pts+rebs,NBA,True,PrizePicks,2024-12-11,2024-12-11T02:40:00.000Z,not-started,"[{'timestamp': '2024-12-10T03:42:26.321Z', 'value': 36.5}]"
prizepicks_3463482,2024-12-11_dallas-mavericks_oklahoma-city-thunder,P.J. Washington,pj washington,dallas mavericks,18.5,pts+rebs,NBA,True,PrizePicks,2024-12-11,2024-12-11T02:40:00.000Z,not-started,"[{'timestamp': '2024-12-10T03:42:26.321Z', 'value': 18.5}]"
prizepicks_3463481,2024-12-11_dallas-mavericks_oklahoma-city-thunder,Shai Gilgeous-Alexander,shai gilgeousalexander,oklahoma city thunder,35.5,pts+rebs,NBA,True,PrizePicks,2024-12-11,2024-12-11T02:40:00.000Z,not-started,"[{'timestamp': '2024-12-10T03:42:26.321Z', 'value': 35.5}]"
prizepicks_3463480,2024-12-11_dallas-mavericks_oklahoma-city-thunder,Dereck Lively II,dereck lively,dallas mavericks,16.5,pts+rebs,NBA,True,PrizePicks,2024-12-11,2024-12-11T02:40:00.000Z,not-started,"[{'timestamp': '2024-12-10T03:42:26.321Z', 'value': 16.5}]"
prizepicks_3463479,2024-12-11_dallas-mavericks_oklahoma-city-thunder,Jalen Williams,jalen williams,oklahoma city thunder,28.5,pts+rebs,NBA,True,PrizePicks,2024-12-11,2024-12-11T02:40:00.000Z,not-started,"[{'timestamp': '2024-12-10T03:42:26.321Z', 'value': 28.5}]"
prizepicks_3463478,2024-12-11_dallas-mavericks_oklahoma-city-thunder,Kyrie Irving,kyrie irving,dallas mavericks,25.5,pts+rebs,NBA,True,PrizePicks,2024-12-11,2024-12-11T02:40:00.000Z,not-started,"[{'timestamp': '2024-12-10T03:42:26.321Z', 'value': 25.5}]"
prizepicks_3463477,2024-12-11_dallas-mavericks_oklahoma-city-thunder,Luguentz Dort,luguentz dort,oklahoma city thunder,13.5,pts+rebs,NBA,True,PrizePicks,2024-12-11,2024-12-11T02:40:00.000Z,not-started,"[{'timestamp': '2024-12-10T03:42:26.321Z', 'value': 13.5}]"
prizepicks_3463273,2024-12-11_dallas-mavericks_oklahoma-city-thunder,Daniel Gafford,daniel gafford,dallas mavericks,17.5,pts+rebs+asts,NBA,True,PrizePicks,2024-12-11,2024-12-11T02:40:00.000Z,not-started,"[{'timestamp': '2024-12-10T03:42:26.321Z', 'value': 17.5}]"
prizepicks_3463271,2024-12-11_dallas-mavericks_oklahoma-city-thunder,Luka Doncic,luka doncic,dallas mavericks,44.5,pts+rebs+asts,NBA,True,PrizePicks,2024-12-11,2024-12-11T02:40:00.000Z,not-started,"[{'timestamp': '2024-12-10T03:42:26.321Z', 'value': 44.5}]"
prizepicks_3463270,2024-12-11_dallas-mavericks_oklahoma-city-thunder,Isaiah Hartenstein,isaiah hartenstein,oklahoma city thunder,26.5,pts+rebs+asts,NBA,True,PrizePicks,2024-12-11,2024-12-11T02:40:00.000Z,not-started,"[{'timestamp': '2024-12-10T03:42:26.321Z', 'value': 26.5}]"
prizepicks_3463268,2024-12-11_dallas-mavericks_oklahoma-city-thunder,Shai Gilgeous-Alexander,shai gilgeousalexander,oklahoma city thunder,41.5,pts+rebs+asts,NBA,True,PrizePicks,2024-12-11,2024-12-11T02:40:00.000Z,not-started,"[{'timestamp': '2024-12-10T03:42:26.321Z', 'value': 40.5}, {'timestamp': '2024-12-10T04:08:26.380Z', 'value': 41.5}, {'timestamp': '2024-12-10T04:12:26.391Z', 'value': 40.5}, {'timestamp': '2024-12-10T04:17:26.382Z', 'value': 41.5}]"
prizepicks_3463266,2024-12-11_dallas-mavericks_oklahoma-city-thunder,Jalen Williams,jalen williams,oklahoma city thunder,32.5,pts+rebs+asts,NBA,True,PrizePicks,2024-12-11,2024-12-11T02:40:00.000Z,not-started,"[{'timestamp': '2024-12-10T03:42:26.321Z', 'value': 32.5}]"
prizepicks_3463265,2024-12-11_dallas-mavericks_oklahoma-city-thunder,Kyrie Irving,kyrie irving,dallas mavericks,30.5,pts+rebs+asts,NBA,True,PrizePicks,2024-12-11,2024-12-11T02:40:00.000Z,not-started,"[{'timestamp': '2024-12-10T03:42:26.321Z', 'value': 30.5}]"
prizepicks_3463241,2024-12-11_dallas-mavericks_oklahoma-city-thunder,Dereck Lively II,dereck lively,dallas mavericks,1.5,assists,NBA,True,PrizePicks,2024-12-11,2024-12-11T02:40:00.000Z,not-started,"[{'timestamp': '2024-12-10T03:42:26.321Z', 'value': 1.5}]"
prizepicks_3463239,2024-12-11_dallas-mavericks_oklahoma-city-thunder,Klay Thompson,klay thompson,dallas mavericks,2.5,rebounds,NBA,True,PrizePicks,2024-12-11,2024-12-11T02:40:00.000Z,not-started,"[{'timestamp': '2024-12-10T03:42:26.321Z', 'value': 2.5}]"
prizepicks_3463238,2024-12-11_dallas-mavericks_oklahoma-city-thunder,Daniel Gafford,daniel gafford,dallas mavericks,6.5,rebounds,NBA,True,PrizePicks,2024-12-11,2024-12-11T02:40:00.000Z,not-started,"[{'timestamp': '2024-12-10T03:42:26.321Z', 'value': 6.5}]"
